user_id,birthdate,age_end_july_2023,gender,married,has_children,home_country,home_city,home_airport,home_airport_lat,home_airport_lon,sign_up_date,mths_as_customer,avg_session_duration_seconds,sum_session_duration_seconds,trips_booked,total_sessions,total_page_clicks,avg_days_booking_to_flight,total_cancellations,total_flights_with_discount,avg_flight_discount_amount,sum_flight_discount_amount,discount_flight_proportion,sum_flights_cost,avg_flights_cost,sum_departure_flights,sum_return_flights,total_flights_transactions,ADS_flights,ADS_per_km,sum_distance_km,avg_distance_km,avg_seats_booked,sum_seats_booked,avg_checked_bags,sum_checked_bags,total_hotels_with_discount,avg_hotel_discount_amount,sum_hotel_discount_amount,discount_hotel_proportion,sum_hotel_cost_per_room_per_night,avg_hotel_cost_per_room_per_night,sum_hotel_cost_total,avg_hotel_cost_total,total_hotel_transactions,ADS_hotels,avg_nights_booked,sum_nights_booked,avg_rooms_booked,sum_rooms_booked,scaled_ADS
23557,1958-12-08,64.0,F,1,0,usa,new york,LGA,40.777,-73.872,2021-07-22,24.0,76.625,613.0,2,8,82,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.25,0.25,0.5,354.0,177.0,3802.0,1901.0,2,65.75,10.0,20.0,1.5,3.0,0.0
94883,1972-03-16,51.0,F,1,0,usa,kansas city,MCI,39.297,-94.714,2022-02-07,17.0,67.75,542.0,2,8,73,7.5,0,0,0.0,0.0,0.0,864.0899999999999,432.04,2,2,4,0.0,0.0,2902.67,1451.34,1.5,3.0,0.5,1.0,0,0.0,0.0,0.0,180.0,90.0,230.0,115.0,2,0.0,1.0,2.0,1.5,3.0,0.0
101486,1972-12-07,50.0,F,1,1,usa,tacoma,TCM,47.138,-122.476,2022-02-17,17.0,122.25,978.0,2,8,131,9.0,0,0,0.0,0.0,0.0,189.91,189.91,1,1,2,0.0,0.0,995.68,995.68,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,397.0,198.5,2452.0,1226.0,2,0.0,4.5,9.0,1.5,3.0,0.0
101961,1980-09-14,42.0,F,1,0,usa,boston,BOS,42.364,-71.005,2022-02-17,17.0,117.75,942.0,5,8,126,6.6,0,1,0.1,0.1,0.1,1242.66,248.53,5,5,10,4.97,0.0007,6832.85,1366.57,1.0,5.0,0.4,2.0,0,0.0,0.0,0.0,680.0,136.0,2798.0,559.6,5,0.0,4.4,22.0,1.0,5.0,0.0019379693824233585
106907,1978-11-17,44.0,F,1,1,usa,miami,TNT,25.862,-80.897,2022-02-24,17.0,169.5,1017.0,0,6,136,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
118043,1972-05-04,51.0,F,0,1,usa,los angeles,LAX,33.942,-118.408,2022-03-10,16.0,153.125,1225.0,5,8,164,9.67,0,1,0.2,0.2,0.167,2339.29,779.76,3,3,6,0.0,0.0,7515.5,2505.17,2.0,6.0,1.0,3.0,3,0.12,0.35,0.75,909.0,227.25,6638.0,1659.5,4,16.8,6.0,24.0,1.25,5.0,0.0
120851,1972-09-25,50.0,F,1,1,usa,santa ana,SNA,33.676,-117.868,2022-03-13,16.0,51.75,414.0,1,8,55,8.0,0,0,0.0,0.0,0.0,384.68,384.68,1,1,2,0.0,0.0,2259.8,2259.8,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,182.0,182.0,2002.0,2002.0,1,0.0,11.0,11.0,1.0,1.0,0.0
125845,1983-12-01,39.0,F,1,0,usa,el paso,BIF,31.849,-106.38,2022-03-19,16.0,131.77777777777777,1186.0,3,9,159,9.33,0,1,0.15,0.15,0.167,1753.32,584.44,3,3,6,106.56,0.0124,8584.56,2861.52,1.3333333333333333,4.0,0.67,2.0,0,0.0,0.0,0.0,371.0,123.67,864.0,288.0,3,0.0,2.3333333333333335,7.0,1.3333333333333333,4.0,0.04155131134628433
133058,2005-04-07,18.0,F,0,0,usa,austin,AUS,30.194,-97.67,2022-03-27,16.0,68.125,545.0,1,8,73,6.0,0,0,0.0,0.0,0.0,423.51,423.51,1,1,2,0.0,0.0,2887.18,2887.18,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
149058,1973-01-22,50.0,F,0,1,usa,birmingham,BHM,33.563,-86.753,2022-04-14,15.0,131.75,1054.0,5,8,142,6.6,0,1,0.05,0.05,0.1,1928.66,385.73,5,5,10,9.53,0.001,9799.36,1959.87,1.2,6.0,0.4,2.0,0,0.0,0.0,0.0,843.0,168.6,6274.0,1254.8,5,0.0,6.0,30.0,1.2,6.0,0.0037160660391337237
